iter	MultiClass
0	0.8963477235
1	0.797102756
2	0.7132089976
3	0.6537688325
4	0.6077639731
5	0.5770039955
6	0.5489436109
7	0.5315207025
8	0.5191559499
9	0.5066295883
10	0.4973825826
11	0.4881537105
12	0.4819668156
13	0.4731240203
14	0.4673663614
15	0.4621437881
16	0.45635633
17	0.4511547763
18	0.4474856206
19	0.4428333259
20	0.4377164671
21	0.4345965346
22	0.4286289643
23	0.4249173928
24	0.4204344577
25	0.4183783206
26	0.4160668094
27	0.4140228386
28	0.4116959208
29	0.408602622
30	0.4063708528
31	0.4022119231
32	0.3986042422
33	0.3947250097
34	0.3913725676
35	0.3885107058
36	0.3849600644
37	0.3826211601
38	0.3804593635
39	0.3791191319
40	0.3743518977
41	0.3711635803
42	0.3696527865
43	0.3666450933
44	0.3625202525
45	0.3587781853
46	0.3548170981
47	0.3533071889
48	0.351193492
49	0.3492637727
50	0.3464716111
51	0.3448737805
52	0.3413350332
53	0.3368998712
54	0.3334479272
55	0.3313440485
56	0.3296203711
57	0.3258782861
58	0.322571888
59	0.320228168
60	0.3170805369
61	0.313733407
62	0.31146046
63	0.3095896604
64	0.3067689581
65	0.304401696
66	0.3037030152
67	0.3011640625
68	0.3000853731
69	0.2960744953
70	0.2943407049
71	0.2921860193
72	0.2903900553
73	0.2876876934
74	0.2864215902
75	0.2833867763
76	0.280406518
77	0.2777191024
78	0.2756961934
79	0.2744697464
80	0.2736797031
81	0.2705163042
82	0.2686682485
83	0.2663275392
84	0.264891338
85	0.2615705209
86	0.2596433345
87	0.2576064371
88	0.2562987174
89	0.2550012278
90	0.2530322467
91	0.2512155281
92	0.2492942715
93	0.2480852271
94	0.2462196869
95	0.2445881179
96	0.2433062443
97	0.2416816506
98	0.2401951384
99	0.2393104698
100	0.2374755249
101	0.2356089122
102	0.234098694
103	0.2322505102
104	0.230864889
105	0.229353032
106	0.2267508243
107	0.2245192852
108	0.2227245201
109	0.2203092553
110	0.2187669222
111	0.2184991794
112	0.2169962189
113	0.216216712
114	0.2146145779
115	0.2120814446
116	0.2101914116
117	0.2085063975
118	0.2082046199
119	0.2067258851
120	0.2061275107
121	0.2053508634
122	0.2037786106
123	0.2023588077
124	0.2016854143
125	0.1990085496
126	0.198145546
127	0.1967658874
128	0.1955384887
129	0.1945585135
130	0.1938462778
131	0.1932303559
132	0.1911300049
133	0.1906425756
134	0.1893884148
135	0.1883182896
136	0.1866850701
137	0.1860453359
138	0.1856771886
139	0.183634949
140	0.1832811502
141	0.1828068455
142	0.1820059422
143	0.1810972639
144	0.1795067693
145	0.1790717349
146	0.1775410751
147	0.1759415119
148	0.1743896718
149	0.1734842093
150	0.1727627204
151	0.1709647091
152	0.1697844638
153	0.1692602436
154	0.1681829541
155	0.1671348492
156	0.1656470804
157	0.1648134504
158	0.1639785131
159	0.1631918793
160	0.162755498
161	0.1613576568
162	0.1606352007
163	0.1598842833
164	0.1588542974
165	0.158508833
166	0.157410345
167	0.1566200211
168	0.1554386138
169	0.1552118941
170	0.154616651
171	0.1537016984
172	0.1530351492
173	0.1518112563
174	0.1508554677
175	0.149774894
176	0.1492824101
177	0.1489191283
178	0.1484128353
179	0.1479252463
180	0.1474967601
181	0.1466394701
182	0.1464460196
183	0.1455018407
184	0.1449742123
185	0.1445797467
186	0.1433859
187	0.1429352378
188	0.1421963571
189	0.1413323288
190	0.1406932156
191	0.1398904105
192	0.1392430448
193	0.1387025896
194	0.1380241438
195	0.1370425863
196	0.1364533236
197	0.136039559
198	0.1350980675
199	0.1345884733
200	0.1340462245
201	0.1331656886
202	0.1326622211
203	0.1319647498
204	0.1313143928
205	0.1309881136
206	0.1303661447
207	0.1292694475
208	0.128768774
209	0.1282175321
210	0.1278820025
211	0.1274233454
212	0.126930244
213	0.1262091017
214	0.1254806134
215	0.1248780291
216	0.1241983199
217	0.1237632431
218	0.1228137554
219	0.1219987147
220	0.1215786773
221	0.1208660125
222	0.1200619103
223	0.119708567
224	0.1192736845
225	0.118670352
226	0.1183491394
227	0.1180994294
228	0.1176141177
229	0.1173204819
230	0.1168382443
231	0.1164344554
232	0.1155454269
233	0.1152507442
234	0.1145328475
235	0.1141484819
236	0.113846704
237	0.1136481401
238	0.1129390241
239	0.1125747213
240	0.1118005143
241	0.1113200007
242	0.1108327454
243	0.1107081024
244	0.1101027028
245	0.1098818303
246	0.1092894824
247	0.1090386715
248	0.1085099585
249	0.1077169255
250	0.1069426267
251	0.1064768012
252	0.1058164046
253	0.1055835227
254	0.104986623
255	0.1043563079
256	0.1036281244
257	0.1030960497
258	0.1026143401
259	0.101966015
260	0.1017619744
261	0.1015446484
262	0.1008555701
263	0.1002740518
264	0.1000093189
265	0.0996309317
266	0.09859563065
267	0.09824401688
268	0.09770787841
269	0.09731063865
270	0.09688813375
271	0.09661555898
272	0.09633250318
273	0.09587768382
274	0.0955738999
275	0.09526491548
276	0.09469936269
277	0.0944532746
278	0.09423782855
279	0.09398662512
280	0.09381113241
281	0.09341794847
282	0.0933008697
283	0.09320639669
284	0.09263386484
285	0.09220739926
286	0.09185013677
287	0.09139958714
288	0.09104027295
289	0.09064317329
290	0.09044552889
291	0.09033194582
292	0.09005882378
293	0.08957411245
294	0.08929784061
295	0.08891457204
296	0.08874792923
297	0.08833751181
298	0.08803546107
299	0.08738647981
