iter	Passed	Remaining
0	157	47153
1	161	23990
2	164	16254
3	167	12377
4	170	10084
5	174	8565
6	178	7456
7	180	6602
8	183	5948
9	188	5454
10	191	5041
11	194	4668
12	197	4363
13	201	4109
14	205	3896
15	208	3696
16	211	3520
17	214	3363
18	217	3219
19	221	3098
20	224	2976
21	226	2868
22	229	2767
23	232	2671
24	236	2597
25	239	2521
26	242	2447
27	244	2376
28	247	2311
29	251	2260
30	254	2205
31	256	2152
32	259	2103
33	262	2056
34	266	2016
35	270	1980
36	272	1940
37	275	1902
38	279	1868
39	282	1838
40	286	1807
41	289	1777
42	292	1747
43	295	1717
44	299	1694
45	301	1667
46	304	1640
47	307	1614
48	310	1589
49	313	1568
50	316	1547
51	319	1525
52	322	1503
53	325	1481
54	328	1461
55	332	1448
56	335	1430
57	338	1410
58	340	1390
59	343	1373
60	347	1360
61	349	1343
62	352	1327
63	355	1311
64	358	1295
65	361	1283
66	364	1268
67	367	1253
68	370	1239
69	372	1225
70	375	1211
71	379	1201
72	381	1187
73	384	1174
74	387	1161
75	389	1149
76	393	1138
77	396	1128
78	399	1116
79	401	1105
80	404	1093
81	407	1082
82	411	1076
83	414	1066
84	417	1055
85	420	1045
86	422	1035
87	427	1029
88	429	1019
89	433	1010
90	435	1001
91	438	991
92	442	985
93	445	976
94	448	967
95	450	958
96	453	949
97	456	941
98	460	934
99	462	925
100	465	917
101	468	908
102	471	901
103	474	894
104	477	887
105	480	878
106	483	871
107	485	863
108	488	856
109	492	850
110	495	843
111	497	835
112	500	828
113	503	821
114	507	816
115	510	809
116	512	802
117	515	795
118	518	788
119	521	782
120	524	776
121	527	769
122	530	763
123	533	757
124	536	750
125	539	745
126	542	739
127	545	733
128	548	727
129	551	721
130	555	716
131	558	710
132	561	704
133	563	698
134	566	692
135	569	686
136	573	681
137	575	675
138	578	669
139	581	664
140	583	658
141	587	653
142	590	648
143	593	642
144	596	637
145	598	631
146	602	626
147	605	621
148	608	616
149	611	611
150	614	606
151	617	601
152	621	596
153	624	591
154	626	586
155	629	581
156	632	575
157	636	571
158	639	567
159	642	561
160	644	556
161	647	551
162	650	546
163	653	542
164	656	537
165	658	531
166	661	527
167	664	522
168	668	518
169	671	513
170	673	508
171	676	503
172	679	498
173	682	494
174	686	490
175	689	485
176	692	480
177	695	476
178	697	471
179	701	467
180	704	463
181	707	458
182	710	454
183	713	449
184	717	446
185	721	441
186	724	437
187	727	433
188	730	428
189	734	424
190	737	420
191	740	416
192	742	411
193	746	407
194	749	403
195	752	399
196	755	395
197	759	391
198	762	387
199	766	383
200	769	378
201	772	374
202	774	370
203	778	366
204	781	362
205	784	358
206	788	354
207	790	349
208	793	345
209	797	341
210	800	337
211	803	333
212	806	329
213	809	325
214	813	321
215	816	317
216	820	313
217	823	309
218	826	305
219	830	302
220	834	298
221	837	294
222	840	290
223	844	286
224	847	282
225	850	278
226	853	274
227	856	270
228	859	266
229	862	262
230	865	258
231	868	254
232	871	250
233	875	246
234	879	243
235	882	239
236	885	235
237	889	231
238	893	228
239	897	224
240	900	220
241	903	216
242	907	212
243	911	209
244	914	205
245	918	201
246	921	197
247	925	194
248	929	190
249	932	186
250	936	182
251	939	178
252	942	175
253	945	171
254	948	167
255	951	163
256	954	159
257	957	155
258	960	152
259	963	148
260	966	144
261	969	140
262	971	136
263	975	133
264	978	129
265	981	125
266	984	121
267	986	117
268	990	114
269	992	110
270	995	106
271	998	102
272	1000	98
273	1003	95
274	1006	91
275	1009	87
276	1012	84
277	1015	80
278	1018	76
279	1021	72
280	1024	69
281	1027	65
282	1030	61
283	1033	58
284	1036	54
285	1039	50
286	1042	47
287	1045	43
288	1047	39
289	1050	36
290	1053	32
291	1057	28
292	1060	25
293	1063	21
294	1066	18
295	1068	14
296	1072	10
297	1075	7
298	1078	3
299	1081	0
